round,num_clients,avg_accuracy,accuracy_std,avg_transfer_efficiency,avg_knowledge_retention,total_training_time,communication_time
1,3,-2.8276454518883813,4.687373505401767,0.0,0.0,1.3449010848999023,0.0
2,3,-2.576306533839056,4.334316964579693,0.0,0.0,0.4912271499633789,0.0
3,3,-2.3230587622323884,4.002369132474233,0.0,0.0,0.5001142024993896,0.0
4,3,-2.0873366772447572,3.6714877467173443,0.0,0.0,0.5176362991333008,0.0
5,3,-1.8681158974232606,3.345371678807301,0.0,0.0,0.5602211952209473,0.0
6,3,-1.6612050785163754,3.034330910410368,0.0,0.0,0.5247187614440918,0.0
7,3,-1.4392552253557618,2.7553228920990707,0.0,0.0,0.5603792667388916,0.0
8,3,-1.2492400584693064,2.484396156445844,0.0,0.0,0.5206918716430664,0.0
9,3,-1.06061165473592,2.2316459029072586,0.0,0.0,0.496309757232666,0.0
10,3,-0.8843960805903035,1.989501354407274,0.0,0.0,0.5630612373352051,0.0
11,3,-0.7202245654459443,1.7713204896471517,0.0,0.0,0.5294294357299805,0.0
12,3,-0.5665463589737865,1.565659506123949,0.0,0.0,0.5164291858673096,0.0
13,3,-0.41594526886937117,1.3852326366933683,0.0,0.0,0.5096435546875,0.0
14,3,-0.2917299720791097,1.2282460695369182,0.0,0.0,0.5675761699676514,0.0
15,3,-0.18718945309576215,1.0850926138120267,0.0,0.0,0.5102519989013672,0.0
16,3,-0.09864707018531227,0.9598908054611645,0.0,0.0,0.5328419208526611,0.0
17,3,-0.0234360705047002,0.8465625361595444,0.0,0.0,0.5426814556121826,0.0
18,3,0.043265109416275226,0.7522636867447732,0.0,0.0,0.5417978763580322,0.0
19,3,0.09898951893905865,0.6734898832398333,0.0,0.0,0.502126932144165,0.0
20,3,0.14649157392659776,0.6063461132871848,0.0,0.0,0.5662500858306885,0.0
21,3,0.18515191076644769,0.5517062008213885,0.0,0.0,0.5054099559783936,0.0
22,3,0.21751972833080246,0.5059653702893443,0.0,0.0,0.5092167854309082,0.0
